tradeName;grade;sample;Class;className;setNum;manufacturer;chemicalDescription;weeksSoaked;pctGlass;conductivity_uSPerCm;TOC;pH_227;IC_Anion_ppm;F;Cl;NO2;Br;NO3;PO4;SO4;ICPTotal_ppm;AL;B;Ca;Cr;Cu;Mg;P;K;Si;Na;Zn;numPeaks_GCMS;peak1;peak2;peak3;peak4;peak5;peak6;peak7;peak8;peak9;peak10;axisLabel;leachingIndex;voltageLoss
Ultramid;A 3WG7 BK00564;Ultramid A3WG7;1;PA-B;GM-024;BASF;PA-B;6;35;59.3;94.23;5.6;0.69;0;0.41;0.01;0;0.1;0;0.16;23.77;0;0.48;8.7;0;0;0.86;0;0.2;13;0.52;0;8;"Polyethylene glycol distribution 1, 496  n44";;"Polyethylene glycol distribution 1, 710  n44";"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";"Polyethylene glycol distribution 3, 458  n44";MW 376;;2-Ethylhexanoic acid;Caprolactam;Butyrolactone;PA-B;311.5;20.5
Ultramid;A 3HG6 HR BK23591;Ultramid A3HG6;1;PA-B;GM-025;BASF;PA-B;6;30;155.8;313.65;7.61;2.47;0.02;2.04;0.03;0;0.08;0.19;0.12;40.55;1.1;0.01;5.4;0;0;0.85;6.9;0.89;16;9.4;0;5;Caprolactam tetramer;;Caprolactam hexamer;"Nylon 6,6 dimer";Caprolactam dimer;;;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;;PA-B;311.5;20.5
ZYTEL;PLS95G35DH1;PLS95G35DH1;2;PA-D;GM-005;DuPont;PA-D;6;30;347;3273;8.46;42.86;3.03;36.71;0.66;0;1.42;0.05;0.99;54.34;2.1;8.2;7.9;0;0;0.17;0.37;0.59;15;20;0;3;Caprolactam;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;;;;;PA-D;2190.1;81.2
ZYTEL;PLS90G30DR;PLS90G30DR;2;PA-D;GM-006;DuPont;PA-D;6;35;435;1223;7.7;31.16;0;27.81;0.46;0;0.85;0.05;1.99;80.56;2.6;5.8;9.5;0;0;0.25;1.3;1.1;16;44;0;2;;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;;;;;PA-D;2190.1;81.2
ZYTEL;FE5555;FE5555;2;PA-D;GM-007;DuPont;PA-D;6;35;397;2232;6.72;0.91;0;0.56;0.02;0.01;0.15;0.01;0.17;53.72;0;5.6;18;0;0.02;0.77;0.04;0.49;9.8;19;0;6;Caprolactam ;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";"2,6-di-t-Butylphenol ";;;Acetic acid ;Propanoic acid;PA-D;2190.1;81.2
ZYTEL;70G30HSLR;70G30HSLR;2;PA-D;GM-009;DuPont;PA-D;6;30;1441;1199;6.27;3.16;0;2.68;0;0.01;0.02;0.05;0.39;40.54;0.08;1.1;15;0;0.55;1.2;0.04;0.29;12;10;0;3;;;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;;;;Ethylene glycol;Diethylene glycol ;PA-D;2190.1;81.2
ZYTEL;FE5382;FE5382;2;PA-D;GM-008;DuPont;PA-D;6;33;238.5;165;7.94;3.68;0;2.27;0.11;0.01;0.67;0.02;0.61;18.35;0.91;0.95;5.2;0;0.01;0.58;0;0.1;9;1.6;0;6;Caprolactam;;MW 310;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";"1,6-Hexanediol";;;;2-Imidazolidinone;PA-D;2190.1;81.2
EMS-1;EMS-1;EMS-1;3;PA-E;GM-011;EMS;PA-E;6;0;1233;123.6;7.87;2.09;0.02;1.44;0.02;0;0.13;0.13;0.35;229.15;0;0;0.13;0;0.4;0.01;0;210;1.6;17;0;3;"Nylon 6,10 cyclic dimer";;Caprolactam;;"Ethylene Glycol, Glycerol, Laurolactam";;;;;;PA-E;960.4;96.4
EMS-2;EMS-2;EMS-2;3;PA-E;GM-012;EMS;PA-E;6;0;644;326.03;7.62;24.78;0;1.52;0.18;0.01;2.73;0;20.33;34.8;0;0.01;0.54;0;0.01;0.02;0;0.81;4.4;29;0.01;3;"Nylon 6,10 cyclic dimer";;Caprolactam;;"?-Valerolactone, Laurolactam";;;;;;PA-E;960.4;96.4
EMS-3;EMS-3;EMS-3;3;PA-E;GM-013;EMS;PA-E;6;30;810;343.52;7.52;5.75;0.03;2.38;0;0.05;2.37;0.16;0.77;126.03;0;0.01;5.1;0;0.06;0.74;0;1.7;8.4;110;0;3;"Nylon 6,10 cyclic dimer";;Glycerol;;"Caprolactam, hexanediol";;;;;;PA-E;960.4;96.4
